Sr_No,Case_No,Case_Title,Case_Subject,Author_Judge,Upload_Date,Judgment_Date,Citations,SC_Citations,PDF_URL,Filename,Download_Status,Timestamp
1408,C.A.1079/2015,Intelligence Bureau Employees Cooperative Housing Society thr. its Secretary v. Shabbir Hussain & others,Suit for Declaration/Others,Mr. Justice Maqbool Baqar,02-04-2022,18-03-2022,2022 SCMR 877,2022 SCP 131,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1079_2015.pdf,C.A.1079_2015.pdf,Success,2025-10-05T14:25:27.982668
1409,C.A.221/2018,Haq Nawaz & others v. Banaras & others,Suit for Declaration/Validity of mutation,Mr. Justice Maqbool Baqar,02-04-2022,15-09-2021,2022 SCMR 1068,2022 SCP 130,https://www.supremecourt.gov.pk/downloads_judgements/c.a._221_2018.pdf,C.A.221_2018.pdf,Success,2025-10-05T14:25:28.868001
1410,C.P.L.A.5718/2021,"Syeda Nasreen Zohra (deceased) through L.Rs v. Government of the Punjab through Secretary Communication & Works Department, Lahore and others",Writ Petition/.,Mrs. Justice Ayesha A. Malik,31-03-2022,07-02-2022,2022 SCMR 890,2022 SCP 129,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5718_2021.pdf,C.P.L.A.5718_2021.pdf,Success,2025-10-05T14:25:30.045889
1411,C.P.L.A.1148-L/2021,"Commissioner Inland Revenue, Lahore v. Asif Kamal",Tax/Income Tax,Mr. Justice Qazi Faez Isa,28-03-2022,16-03-2022,2022 SCMR 1091,2022 SCP 128,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1148_l_2021.pdf,C.P.L.A.1148-L_2021.pdf,Success,2025-10-05T14:25:30.904789
1412,C.R.P.292/2021,Hadayat Ullah v. Federation of Pakistan thr. Secy. Ministry of Information Technology & Telecommunications & others,Service/Seniority,Mr. Justice Umar Ata Bandial,26-03-2022,17-12-2021,2022 SCMR 1691,2022 SCP 127,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._292_2021_detailed.pdf,C.R.P.292_2021.pdf,Already exists,2025-10-05T14:25:31.207898
1413,J.P.95/2017,Faisal Shehzad v. The State,Life Imprisonment/Narcotic Substance Case,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,25-03-2022,14-03-2022,2022 SCMR 905,2022 SCP 126,https://www.supremecourt.gov.pk/downloads_judgements/j.p._95_2017.pdf,J.P.95_2017.pdf,Success,2025-10-05T14:25:31.963657
1414,S.M.C.4/2021,In Re order dated 20.08.2021 in SMC No.4/2021,U/A 184(3),Mr. Justice Munib Akhtar,24-03-2022,26-08-2021,PLD 2022 SC 306,2022 SCP 125,https://www.supremecourt.gov.pk/downloads_judgements/s.m.c._4_2021_26082021.pdf,S.M.C.4_2021.pdf,Already exists,2025-10-05T14:25:32.270837
1415,C.M.A.1243/2021,Justice Qazi Faez Isa v. The President of Pakistan & others,Miscellaneous/Others,Mr. Justice Munib Akhtar,24-03-2022,13-04-2020,PLD 2023 SC 661,2022 SCP 124,https://www.supremecourt.gov.pk/downloads_judgements/c.m.a._1243_2021.pdf,C.M.A.1243_2021.pdf,Already exists,2025-10-05T14:25:32.573322
1416,C.P.L.A.5620/2021,"The Federation of Pakistan Chamber of Commerce, Karachi and others v. Province of Sindh through Secretary Labour and Human Resources Department Govt. of Sindh, Karachi and another",Labour Cases/.,Mr. Justice Syed Mansoor Ali Shah,24-03-2022,26-01-2022,PLD 2022 SC 298,2022 SCP 123,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5620_2021.pdf,C.P.L.A.5620_2021.pdf,Success,2025-10-05T14:25:33.335117
1417,Crl.P.L.A.916-L/2021,"Tahir Naqash, etc v. The State, etc",Miscellaneous,Mr. Justice Syed Mansoor Ali Shah,24-03-2022,12-01-2022,PLD 2022 SC 385,2022 SCP 122,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._916_l_2021.pdf,Crl.P.L.A.916-L_2021.pdf,Success,2025-10-05T14:25:34.395853
1418,C.P.2/2022,"Supreme Court Bar Association of Pakistan through its President, Supreme Court Building, Islamabad v. Federation of Pakistan through Secretary, Ministry of Interior, Islamabad and others",U/A 184(3),Mr. Justice Umar Ata Bandial,22-03-2022,21-03-2022,PLD 2022 SC 488,2022 SCP 121,https://www.supremecourt.gov.pk/downloads_judgements/const.p._2_2022_21032022.pdf,C.P.2_2022.pdf,Already exists,2025-10-05T14:25:34.700184
1419,C.P.L.A.722-P/2021,"Waseem Zeb Khan v. The Chairman, National Accountability Bureau, NAB Headquarters, Islamabad and others",NAB/Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,21-03-2022,25-01-2022,2022 SCMR 1260,2022 SCP 120,https://www.supremecourt.gov.pk/downloads_judgements/c.p._722_p_2021.pdf,C.P.L.A.722-P_2021.pdf,Success,2025-10-05T14:25:35.436697
1420,Crl.P.L.A.1146/2021,Yasar Khattak v. The State thr. A.G. Khyber Pakhtunkhwa and another,Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,21-03-2022,24-01-2022,NA,2022 SCP 119,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1146_2021.pdf,Crl.P.L.A.1146_2021.pdf,Success,2025-10-05T14:25:36.168199
1421,C.P.L.A.757-L/2021,"Commissioner Inland Revenue, Lahore v. M/s. Sargodha Spinning Mills (Pvt.) Ltd., Faisalabad, etc",Tax/Sales Tax Act,Mr. Justice Syed Mansoor Ali Shah,21-03-2022,03-02-2022,2022 SCMR 1082,2022 SCP 118,https://www.supremecourt.gov.pk/downloads_judgements/c.p._757_l_2021.pdf,C.P.L.A.757-L_2021.pdf,Success,2025-10-05T14:25:37.266883
1422,C.P.L.A.2597/2020,"Commissioner of Income Tax (Legal), Large Texpayers Unit, Islamabad v. M/s Askari Bank Limited, Rawalpindi and another",Tax/Income Tax,Mr. Justice Syed Mansoor Ali Shah,21-03-2022,01-02-2022,2022 SCMR 1104,2022 SCP 117,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2597_2020.pdf,C.P.L.A.2597_2020.pdf,Success,2025-10-05T14:25:38.560602
1423,C.P.2/2022,"Supreme Court Bar Association of Pakistan through its President, Supreme Court Building, Islamabad v. Federation of Pakistan through Secretary, Ministry of Interior, Islamabad and others",U/A 184(3),Mr. Justice Umar Ata Bandial,19-03-2022,19-03-2022,PLD 2022 SC 488,2022 SCP 116,https://www.supremecourt.gov.pk/downloads_judgements/const.p._2_2022.pdf,C.P.2_2022.pdf,Already exists,2025-10-05T14:25:38.863798
1424,Crl.A.241/2020,Sharafat Khan v. The State,Life Imprisonment/Narcotic Substance Case,Mr. Justice Syed Mansoor Ali Shah,18-03-2022,28-02-2022,PLD 2022 SC 281,2022 SCP 115,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._241_2020.pdf,Crl.A.241_2020.pdf,Success,2025-10-05T14:25:40.266008
1425,Crl.A.585/2020,"Shaukat Hussain v. The State, etc",Life Imprisonment/Sessions,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,14-02-2022,2022 SCMR 1358,2022 SCP 114,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._585_2020.pdf,Crl.A.585_2020.pdf,Success,2025-10-05T14:25:40.952156
1426,Crl.P.L.A.1268-L/2021,"Dilawar Ali v. The State, etc",Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,27-01-2022,2022 SCMR 1066,2022 SCP 113,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1268_l_2021.pdf,Crl.P.L.A.1268-L_2021.pdf,Success,2025-10-05T14:25:41.907808
1427,Crl.A.416/2020,Ghulam Abbas v. The State,Life Imprisonment/Anti-Terrorism Act,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,18-10-2021,2022 SCMR 1102,2022 SCP 112,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._416_2020.pdf,Crl.A.416_2020.pdf,Success,2025-10-05T14:25:42.755180
1428,Crl.P.L.A.1549/2021,Rashad Imran v. The State thr. P.G. Punjab and another,Bail Before Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,26-01-2022,2022 SCMR 1304,2022 SCP 111,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1549_2021.pdf,Crl.P.L.A.1549_2021.pdf,Success,2025-10-05T14:25:43.576408
1429,Crl.P.L.A.100-K/2020,Ghaffar Mahesar v. The State through P.G.Sindh,Sentence/More than 10 years,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,26-01-2022,2022 SCMR 1280,2022 SCP 110,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._100_k_2020.pdf,Crl.P.L.A.100-K_2020.pdf,Success,2025-10-05T14:25:44.279126
1430,Crl.A.541/2020,Rafaqat Ali @ Lakha @ Sabir Hussain v. The State,Life Imprisonment/Sessions,Mr. Justice Qazi Muhammad Amin Ahmed,18-03-2022,14-02-2022,2022 SCMR 1107,2022 SCP 109,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._541_2020.pdf,Crl.A.541_2020.pdf,Success,2025-10-05T14:25:44.964429
1431,Crl.P.L.A.1596/2021,Shams-ul-Islam Khan v. Azhar Ahmed Khan and another,Other Sentences/5 Years R.I.,Mr. Justice Qazi Muhammad Amin Ahmed,16-03-2022,07-02-2022,NA,2022 SCP 108,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1596_2021.pdf,Crl.P.L.A.1596_2021.pdf,Success,2025-10-05T14:25:45.809585
1432,Crl.P.L.A.513/2021,Muhammad Anwar v. The State thr. A.G. Khyber Pakhtunkhwa and another,Other Sentences/4 Years R.I.,Mr. Justice Qazi Muhammad Amin Ahmed,16-03-2022,28-01-2022,2022 SCMR 1128,2022 SCP 107,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._513_2021.pdf,Crl.P.L.A.513_2021.pdf,Success,2025-10-05T14:25:46.502946
1433,Crl.P.L.A.1117-L/2021,"Muhammad Irshad v. The State, etc",Other Sentences/5 Years R.I.,Mr. Justice Qazi Muhammad Amin Ahmed,16-03-2022,03-02-2022,2022 SCMR 1185,2022 SCP 106,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1117_l_2021.pdf,Crl.P.L.A.1117-L_2021.pdf,Success,2025-10-05T14:25:47.264837
1434,C.A.849/2015,Salamat Ali & others v. Muhammad Din,Suit for Declaration/.,Mr. Justice Yahya Afridi,16-03-2022,20-01-2022,PLD 2022 SC 353,2022 SCP 105,https://www.supremecourt.gov.pk/downloads_judgements/c.a._849_2015.pdf,C.A.849_2015.pdf,Success,2025-10-05T14:25:48.249174
1435,C.A.649/2019,"Government of the Punjab through Chief Secretary, Lahore, etc v. Defence Rays Golf and Country Club, Phase-VI, Defence Housing Authority, Lahore",Tax/Excise Duty,Mr. Justice Munib Akhtar,16-03-2022,28-02-2022,PLD 2022 SC 372,2022 SCP 104,https://www.supremecourt.gov.pk/downloads_judgements/c.a._649_2019.pdf,C.A.649_2019.pdf,Success,2025-10-05T14:25:49.384239
1436,Crl.P.L.A.601-L/2021,"Zafar Iqbal v. The State, etc",Bail After Arrest,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,12-03-2022,18-11-2021,2022 SCMR 976,2022 SCP 103,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._601_l_2021.pdf,Crl.P.L.A.601-L_2021.pdf,Success,2025-10-05T14:25:50.415709
1437,C.A.601/2019,Mst. Noor Jehan & another v. Saleem Shahadat,Suit for specific performance,Mr. Justice Maqbool Baqar,12-03-2022,01-03-2022,2022 SCMR 918,2022 SCP 102,https://www.supremecourt.gov.pk/downloads_judgements/c.a._601_2019.pdf,C.A.601_2019.pdf,Success,2025-10-05T14:25:52.254845
1438,C.P.L.A.1540/2018,"Muhammad Arif Chattha & others v. The learned Additional District Judge, Gujranwala & others",Suit for Possession/Through pre-emption,Mr. Justice Jamal Khan Mandokhail,12-03-2022,11-02-2022,2022 SCMR 958,2022 SCP 101,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1540_2018.pdf,C.P.L.A.1540_2018.pdf,Success,2025-10-05T14:25:53.647025
1439,C.P.L.A.2143-L/2020,"Commissioner Inland Revenue, Lahore v. The Bank of Punjab, Lahore",Tax/Income Tax,Mr. Justice Qazi Faez Isa,12-03-2022,04-02-2022,2022 SCMR 1110,2022 SCP 100,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2143_l_2020.pdf,C.P.L.A.2143-L_2020.pdf,Success,2025-10-05T14:25:54.980291
1440,C.A.180/2015,Muhammad Iqbal v. Mati ur Rehman & another,Suit for Possession/Permanent Injunction,Mr. Justice Mazhar Alam Khan Miankhel,12-03-2022,09-02-2022,2022 SCMR 859,2022 SCP 99,https://www.supremecourt.gov.pk/downloads_judgements/c.a._180_2015.pdf,C.A.180_2015.pdf,Success,2025-10-05T14:25:56.307743
1441,C.A.997/2010,Rana Muhammad Hanif Khan (decd.) thr. LRs v. Saddiq Khan (decd.) thr. LRs.,Suit for recovery/Rendition of Accounts,Mr. Justice Ijaz Ul Ahsan,12-03-2022,14-02-2022,2022 SCMR 852,2022 SCP 98,https://www.supremecourt.gov.pk/downloads_judgements/c.a._997_2010.pdf,C.A.997_2010.pdf,Success,2025-10-05T14:25:57.285867
1442,J.P.42/2017,Zafar Khan and Taj Meer Khan v. The State,Life Imprisonment/Narcotic Substance Case,Mr. Justice Jamal Khan Mandokhail,12-03-2022,11-02-2022,2022 SCMR 864,2022 SCP 97,https://www.supremecourt.gov.pk/downloads_judgements/j.p._42_2017.pdf,J.P.42_2017.pdf,Success,2025-10-05T14:25:58.313994
1443,C.A.401/2015,"Province of Punjab thr. Secretary Housing & Physical Planning Department, Lahore & others v. Syed Zia ul Hassan Zaidi (decd.) thr: L.Rs& others",Suit for Declaration/Others,Mr. Justice Ijaz Ul Ahsan,12-03-2022,19-01-2022,2022 SCMR 830,2022 SCP 96,https://www.supremecourt.gov.pk/downloads_judgements/c.a._401_2015.pdf,C.A.401_2015.pdf,Success,2025-10-05T14:25:59.554486
1444,C.A.421/2018,Privatisation Commission thr. its Secretary v. Aftab Hussain and others,Writ Petition/.,Mr. Justice Gulzar Ahmed,12-03-2022,22-10-2020,PLD 2022 SC 267,2022 SCP 95,https://www.supremecourt.gov.pk/downloads_judgements/c.a._421_2018.pdf,C.A.421_2018.pdf,Success,2025-10-05T14:26:00.626252
1445,C.P.24/2017,MQM (Pakistan) and others. v. Pakistan through Secretary Cabinet Division and others.,U/A 184(3),Mr. Justice Gulzar Ahmed,12-03-2022,01-02-2022,PLD 2022 SC 439,2022 SCP 94,https://www.supremecourt.gov.pk/downloads_judgements/const.p._24_2017.pdf,C.P.24_2017.pdf,Success,2025-10-05T14:26:02.008581
1446,C.P.L.A.1647/2018,Abid Hussain and others v. Muhammad Yousaf and others,Suit for Declaration,Mr. Justice Muhammad Ali Mazhar,10-03-2022,03-02-2022,PLD 2022 SC 395,2022 SCP 93,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1647_2018.pdf,C.P.L.A.1647_2018.pdf,Success,2025-10-05T14:26:02.968372
1447,J.P.83/2021,Raja Ehtisham Kiyani v. The State,Other Sentences/6 Years R.I.,Mr. Justice Qazi Muhammad Amin Ahmed,09-03-2022,04-03-2022,2022 SCMR 1248,2022 SCP 92,https://www.supremecourt.gov.pk/downloads_judgements/j.p._83_2021.pdf,J.P.83_2021.pdf,Success,2025-10-05T14:26:03.668626
1448,Crl.P.L.A.33/2021,Muhammad Nadeem v. Muhammad Khurram Iqbal & another,Cancellation of Bail,Mr. Justice Qazi Muhammad Amin Ahmed,09-03-2022,17-02-2022,2022 SCMR 1168,2022 SCP 91,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._33_2021.pdf,Crl.P.L.A.33_2021.pdf,Success,2025-10-05T14:26:04.340396
1449,C.P.L.A.490-K/2020,Commissioner Inland Revenue v. Muhammad Mustafa Gigi,Tax/Income Tax,Mr. Justice Qazi Faez Isa,09-03-2022,28-12-2021,PLD 2022 SC 420,2022 SCP 90,https://www.supremecourt.gov.pk/downloads_judgements/c.p._490_k_2020.pdf,C.P.L.A.490-K_2020.pdf,Success,2025-10-05T14:26:05.356673
1450,C.P.L.A.3958/2019,Nasir Ali v. Muhammad Asghar,Suit for Declaration,Mr. Justice Muhammad Ali Mazhar,04-03-2022,02-02-2022,2022 SCMR 1054,2022 SCP 89,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3958_2019.pdf,C.P.L.A.3958_2019.pdf,Success,2025-10-05T14:26:06.208016
1451,Crl.A.324/2021,Shah Zaib and Mst. Shamshad Begum v. The State,Life Imprisonment/Anti-Terrorism Act,Mr. Justice Qazi Muhammad Amin Ahmed,04-03-2022,17-02-2022,2022 SCMR 1225,2022 SCP 88,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._324_2021.pdf,Crl.A.324_2021.pdf,Success,2025-10-05T14:26:06.933628
1452,Crl.P.L.A.762/2018,Muhammad Rasool v. The State thr. Special Prosecutor A.N.F.,Life Imprisonment/Narcotic Substance Case,Mr. Justice Qazi Muhammad Amin Ahmed,03-03-2022,01-03-2022,2022 SCMR 1145,2022 SCP 87,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._762_2018.pdf,Crl.P.L.A.762_2018.pdf,Success,2025-10-05T14:26:07.601624
1453,Crl.A.15-Q/2020,Muhammad Iftikhar v. The State,Life Imprisonment/.,Mr. Justice Qazi Muhammad Amin Ahmed,03-03-2022,01-11-2021,2022 SCMR 973,2022 SCP 86,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._15_q_2020.pdf,Crl.A.15-Q_2020.pdf,Success,2025-10-05T14:26:08.365946
1454,C.P.L.A.1831/2017,Syed Athar Hussain Shah v. Haji Muhammad Riaz and another,Suit for specific performance/Agreement to sell,Mr. Justice Qazi Faez Isa,03-03-2022,02-03-2022,2022   SCMR  778,2022 SCP 85,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1831_2017.pdf,C.P.L.A.1831_2017.pdf,Success,2025-10-05T14:26:09.170677
1455,C.P.L.A.3011/2021,Hassan Aziz and others v. Meraj ud Din and others,Family/.,Mr. Justice Munib Akhtar,02-03-2022,08-02-2022,2022 SCMR 1131,2022 SCP 84,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3011_2021.pdf,C.P.L.A.3011_2021.pdf,Success,2025-10-05T14:26:09.894014
1456,C.P.L.A.5178/2021,"Saif ur Rehman Khan v. Chairman National Accountability Bureau, NAB Headquarter, Islamabad and others",NAB/Bail Before Arrest,Mr. Justice Syed Mansoor Ali Shah,01-03-2022,22-09-2021,2022 CLD 413,2022 SCP 83,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5178_2021.pdf,C.P.L.A.5178_2021.pdf,Success,2025-10-05T14:26:10.668767
1457,Crl.P.L.A.1581/2021,Waqas Nazir S/o Muhammad Nazir and others v. The State thr. P.G. Punjab and others,Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,28-02-2022,21-02-2022,2022 SCMR 955,2022 SCP 82,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1581_2021.pdf,Crl.P.L.A.1581_2021.pdf,Success,2025-10-05T14:26:11.641997
1458,Crl.P.L.A.527/2017,NAB thr. its Chairman v. Brig (R) Hamid Mehmood,NAB/Against Acquittal,Mr. Justice Qazi Muhammad Amin Ahmed,28-02-2022,22-02-2022,NA,2022 SCP 81,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._527_2017.pdf,Crl.P.L.A.527_2017.pdf,Success,2025-10-05T14:26:12.366379
1459,Crl.P.L.A.406/2017,"Noor Zaman v. The State thr. P.G, Punjab",Death Sentence/Sessions,Mr. Justice Qazi Muhammad Amin Ahmed,28-02-2022,22-02-2022,2022 SCMR 1002,2022 SCP 80,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._406_2017.pdf,Crl.P.L.A.406_2017.pdf,Success,2025-10-05T14:26:13.178218
1460,C.P.L.A.4222/2018,Sardar Muhammad Kamal-ud-Din Khan v. Syed Munir Syed & others,Arbitration,Mr. Justice Qazi Faez Isa,26-02-2022,18-02-2022,2022 SCMR 806,2022 SCP 79,https://www.supremecourt.gov.pk/downloads_judgements/c.p._4222_2018.pdf,C.P.L.A.4222_2018.pdf,Success,2025-10-05T14:26:13.956374
1461,C.A.1296/2013,Noor Muhammad (decd.) Thr. LRs. & others v. Muhammad Ashraf & others,Suit for Declaration/.,Mrs. Justice Ayesha A. Malik,25-02-2022,07-02-2022,PLD 2022 SC 248,2022 SCP 78,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1296_2013.pdf,C.A.1296_2013.pdf,Success,2025-10-05T14:26:14.815104
1462,C.P.L.A.4899/2018,"Crescent Texile Mills Ltd, Haripur, Khyber Pakhtunkhwa v. Government of Khyber Pakhtunkhwa thr. Chief Secretary, Peshawar & others",Writ Petition/.,Mr. Justice Umar Ata Bandial,25-02-2022,14-02-2022,PLD 2022 SC 247,2022 SCP 77,https://www.supremecourt.gov.pk/downloads_judgements/c.p._4899_2018.pdf,C.P.L.A.4899_2018.pdf,Success,2025-10-05T14:26:15.519919
1463,C.A.139-P/2013,Mst. Rabia Gula & others v. Muhammad Janan (decd.) thr. LRs. & others,Suit for Declaration/Ownership,Mr. Justice Yahya Afridi,25-02-2022,25-02-2022,2022 SCMR 1009,2022 SCP 76,https://www.supremecourt.gov.pk/downloads_judgements/c.a._139_p_2013.pdf,C.A.139-P_2013.pdf,Success,2025-10-05T14:26:16.639055
1464,C.P.L.A.682-L/2017,"The Commissioner Inland Revenue, Lahore, etc v. M/s. PEPSI Cola Interantional, Lahore, etc",Tax/Income Tax,Mr. Justice Qazi Faez Isa,24-02-2022,18-02-2022,2022 SCMR 1140,2022 SCP 75,https://www.supremecourt.gov.pk/downloads_judgements/c.p._682_l_2017.pdf,C.P.L.A.682-L_2017.pdf,Success,2025-10-05T14:26:17.351317
1465,Crl.P.L.A.1091/2021,Sher Hassan S/o Haji Ghulam Isa and others v. Gul Hassan Khan and others,Illegal Dispossession/.,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,23-02-2022,06-01-2022,2022 SCMR 1360,2022 SCP 74,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1091_2021.pdf,Crl.P.L.A.1091_2021.pdf,Success,2025-10-05T14:26:18.104068
1466,Crl.P.L.A.273-L/2021,"Major Rehan Zia v. The State, etc",Bail Before Arrest,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,23-02-2022,03-01-2022,2022 SCMR 1115,2022 SCP 73,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._273_l_2021.pdf,Crl.P.L.A.273-L_2021.pdf,Success,2025-10-05T14:26:18.784604
1467,C.P.L.A.2832/2018,Nazar Hussain & another v. Syed Iqbal Ahmad Qadri (decd) thr. LRs & another,Suit for specific performance/Agreement to sell,Mr. Justice Qazi Faez Isa,23-02-2022,18-02-2022,2022 SCMR 1216,2022 SCP 72,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2832_2018.pdf,C.P.L.A.2832_2018.pdf,Success,2025-10-05T14:26:19.761402
1468,Crl.P.L.A.91-K/2020,Muhammad Sami Ullah v. The State through P.G.Sindh,Sentence/More than 5 years and upto 10 years,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,22-02-2022,09-02-2022,2022 SCMR 998,2022 SCP 71,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._91_k_2020.pdf,Crl.P.L.A.91-K_2020.pdf,Success,2025-10-05T14:26:20.524358
1469,Crl.A.437/2020,Khalid Mehmood @ Khaloo v. The State,Life Imprisonment/Sessions,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,22-02-2022,10-02-2022,2022 SCMR 1148,2022 SCP 70,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._437_2020.pdf,Crl.A.437_2020.pdf,Success,2025-10-05T14:26:21.695012
1470,Crl.A.293/2020,Bashir Muhammad Khan v. The State,Life Imprisonment/Sessions,Mr. Justice Sayyed Mazahar Ali Akbar Naqvi,22-02-2022,07-02-2022,2022 SCMR 986,2022 SCP 69,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._293_2020.pdf,Crl.A.293_2020.pdf,Success,2025-10-05T14:26:22.461093
1471,Crl.P.L.A.1612/2021,Noor Wali S/o Khayal Wali and another v. The State through A.G. Khyber Pakhtunkhwa and another,Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,22-02-2022,16-02-2022,2022 SCMR 1153,2022 SCP 68,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1612_2021.pdf,Crl.P.L.A.1612_2021.pdf,Success,2025-10-05T14:26:23.358518
1472,Crl.P.L.A.280/2021,Muhammad Aurangzeb v. Karim Khan alias Abdul Karim Khan and others,Cancellation of Bail,Mr. Justice Qazi Muhammad Amin Ahmed,21-02-2022,02-12-2021,2022 SCMR 849,2022 SCP 67,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._280_2021.pdf,Crl.P.L.A.280_2021.pdf,Success,2025-10-05T14:26:24.591698
1473,Crl.P.L.A.114/2018,Abdul Ghafoor v. The State thr. Special Prosecutor ANF & another,Life Imprisonment/Narcotic Substance Case,Mr. Justice Qazi Muhammad Amin Ahmed,21-02-2022,11-10-2021,2022 SCMR 819,2022 SCP 66,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._114_2018.pdf,Crl.P.L.A.114_2018.pdf,Success,2025-10-05T14:26:25.421141
1474,Crl.P.L.A.1225/2021,Kashif @ Wajid @ Waju v. The State thr. P.G. Punjab and others,Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,21-02-2022,27-01-2022,2022 SCMR 828,2022 SCP 65,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1225_2021.pdf,Crl.P.L.A.1225_2021.pdf,Success,2025-10-05T14:26:26.457327
1475,C.A.1389/2014,Muhammad Shifa & others v. Mehraban Ali & others,Suit for Declaration/Dispute about inheritance,Mr. Justice Qazi Faez Isa,15-02-2022,03-02-2022,2022   SCMR  647,2022 SCP 64,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1389_2014.pdf,C.A.1389_2014.pdf,Success,2025-10-05T14:26:27.250473
1476,C.P.L.A.2420/2015,Ikram Ullah Khan Yousafzai & others v. Dr. Rizwan Ullah & others,Writ Petition/Registration of FIR,Mr. Justice Qazi Muhammad Amin Ahmed,14-02-2022,10-02-2022,2022 SCMR 576,2022 SCP 63,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2420_2015.pdf,C.P.L.A.2420_2015.pdf,Success,2025-10-05T14:26:28.088175
1477,C.A.1521/2018,"Fawad Ahmad Mukhtar v. The Commissioner Inland Revenue (Zone-II), RTO, Multan",Tax/Income Tax,Mr. Justice Munib Akhtar,09-02-2022,09-02-2022,2022 SCMR 426,2022 SCP 62,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1521_2018.pdf,C.A.1521_2018.pdf,Success,2025-10-05T14:26:29.380208
1478,Crl.P.L.A.1443/2021,Muhammad Naeem Hassan v. The State thr. P.G. Punjab and another,Bail After Arrest,Mr. Justice Qazi Faez Isa,08-02-2022,01-02-2022,2022 SCMR 523,2022 SCP 61,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1443_2021.pdf,Crl.P.L.A.1443_2021.pdf,Success,2025-10-05T14:26:30.236169
1479,Crl.P.L.A.1303/2021,Mst. Kainat Bibi v. The State thr. A.G. Islamabad and another,Bail After Arrest,Mr. Justice Qazi Muhammad Amin Ahmed,08-02-2022,09-12-2021,2022   SCMR  609,2022 SCP 60,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1303_2021.pdf,Crl.P.L.A.1303_2021.pdf,Success,2025-10-05T14:26:30.981197
